Vehicle Type,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
Auto,13.4,25.8,627.0,13.58,4.9,4.9,2
Premier Sedan,13.1,28.5,416.0,34.02,4.6,5.0,3
Bike,5.3,19.6,737.0,48.21,4.1,4.3,3
Auto,5.1,18.1,316.0,4.85,4.1,4.6,3
Go Mini,7.1,20.4,640.0,41.24,4.0,4.1,3
Auto,12.1,16.5,136.0,6.56,4.4,4.2,3
Auto,7.7,18.9,181.0,19.84,4.2,4.9,0
Go Mini,12.2,28.2,394.0,21.44,4.1,4.7,3
Go Mini,14.0,30.9,836.0,39.55,4.7,4.4,3
Auto,8.5,36.9,410.0,34.76,4.0,4.9,4
Premier Sedan,5.6,27.5,401.0,21.97,4.9,4.3,3
Go Sedan,6.1,33.7,264.0,13.64,3.8,4.7,4
Auto,7.0,21.3,183.0,4.5,5.0,4.2,3
Go Mini,10.4,25.1,713.0,38.03,3.7,3.6,3
Go Mini,7.9,41.1,113.0,14.53,4.6,4.9,3
Auto,13.6,25.2,767.0,7.39,3.8,4.6,2
Uber XL,5.1,20.7,495.0,10.23,3.8,4.2,1
Auto,8.9,31.1,2847.0,39.21,3.1,4.6,2
Go Mini,8.9,41.0,282.0,8.36,3.8,4.4,3
Premier Sedan,11.5,20.5,656.0,6.39,5.0,4.9,4
Auto,2.0,19.4,134.0,46.66,3.8,4.4,1
Go Sedan,14.6,25.4,470.0,27.07,3.7,4.2,0
Auto,6.7,20.5,187.0,12.16,4.9,4.3,3
Premier Sedan,6.6,30.0,186.0,10.28,4.4,4.6,3
eBike,10.0,35.8,70.0,44.42,4.1,4.4,3
Auto,12.8,18.7,273.0,34.64,4.5,4.6,4
Go Sedan,12.2,42.3,251.0,20.91,4.2,3.6,2
Go Sedan,7.8,42.2,246.0,8.13,4.2,4.5,3
Auto,8.8,25.2,237.0,2.96,3.9,3.3,3
Go Mini,4.1,25.1,379.0,33.04,4.2,4.5,4
Go Mini,11.2,40.7,545.0,44.7,4.3,4.3,0
Go Mini,3.0,35.4,479.0,7.38,4.2,4.6,3
Go Mini,9.1,23.2,647.0,24.93,4.3,4.7,4
Premier Sedan,11.4,42.1,125.0,25.16,4.3,5.0,1
Premier Sedan,12.4,21.5,375.0,48.85,3.3,3.3,0
Auto,11.7,33.0,310.0,24.41,4.6,3.8,2
eBike,12.1,18.1,291.0,3.71,3.2,4.3,3
Auto,5.8,24.3,114.0,32.98,4.3,4.5,4
Go Mini,4.0,44.5,464.0,11.2,4.5,4.2,0
Go Sedan,3.4,27.1,160.0,45.4,4.0,5.0,0
eBike,9.9,38.5,206.0,28.78,4.1,3.7,0
Bike,8.1,37.3,633.0,17.34,4.5,4.9,1
Auto,6.1,28.2,717.0,9.38,4.2,4.5,3
